Date,open,high,low,code,close,pctChg,volume,amount,turn
1994-04-01,704.9300,705.4100,691.8600,sh.000001,698.84,-0.797773,165498700,1422501248.0000,0.023322
1994-04-04,698.1900,700.2100,692.5100,sh.000001,694.38,-0.638204,218142000,2313539328.0000,0.030206
1994-04-05,695.2000,698.5900,681.0200,sh.000001,682.75,-1.674876,150353900,1445908608.0000,0.020819
1994-04-06,682.2300,683.4800,675.5700,sh.000001,679.74,-0.440866,109768700,1007611136.0000,0.015200
1994-04-07,678.1100,684.5500,674.7200,sh.000001,677.31,-0.357489,118822000,1037017088.0000,0.016425
1994-04-08,678.1300,680.5700,675.2500,sh.000001,678.85,0.227367,91426600,801904640.0000,0.012638
1994-04-11,668.8500,670.2700,657.1000,sh.000001,659.05,-2.916696,117308600,977913088.0000,0.015997
1994-04-12,655.3400,665.8100,652.5600,sh.000001,665.61,0.995372,107818400,791319808.0000,0.014703
1994-04-13,673.6000,674.5000,654.9400,sh.000001,656.79,-1.325101,154842500,1057717376.0000,0.021085
1994-04-14,651.8200,654.5700,634.5800,sh.000001,636.08,-3.153209,163072000,929730176.0000,0.022165
1994-04-15,630.5700,630.8300,592.3100,sh.000001,626.79,-1.460514,236934400,1347446400.0000,0.032205
1994-04-18,619.5100,619.5300,597.7300,sh.000001,604.15,-3.612048,158792000,1238669824.0000,0.021493
1994-04-19,597.7800,600.6600,571.4400,sh.000001,572.73,-5.200702,171016100,1271598592.0000,0.023115
1994-04-20,560.7900,563.2400,536.8700,sh.000001,540.24,-5.672829,181444900,1281112320.0000,0.024524
1994-04-21,536.3400,588.0000,536.3400,sh.000001,582.43,7.809493,219199000,1677485952.0000,0.029627
1994-04-22,586.8300,599.0100,563.7900,sh.000001,566.07,-2.808919,321305900,2671824384.0000,0.043394
1994-04-25,566.6300,572.3900,555.7600,sh.000001,560.8,-0.930984,193155600,1500084096.0000,0.025508
1994-04-26,565.4700,579.9100,565.4700,sh.000001,579.72,3.373749,142388800,1188892160.0000,0.018804
1994-04-27,590.9900,598.5800,583.2900,sh.000001,598.5,3.239500,291695600,2595940864.0000,0.038522
1994-04-28,605.9800,616.0900,593.8100,sh.000001,599.63,0.188806,357968600,2676488704.0000,0.047274
1994-04-29,598.3500,610.9500,585.7700,sh.000001,592.56,-1.179062,260483500,1740094848.0000,0.034085
1994-05-03,593.9400,605.7700,588.9500,sh.000001,605.77,2.229314,140076000,942112128.0000,0.018153
1994-05-04,615.8100,620.9400,610.3800,sh.000001,619.58,2.279743,238000300,1902268160.0000,0.030843
1994-05-05,608.3600,609.8500,585.2300,sh.000001,590.87,-4.633788,190767900,1532605824.0000,0.024700
1994-05-06,589.2300,592.7500,575.2500,sh.000001,585.8,-0.858058,177620400,1479680128.0000,0.022635
1994-05-09,587.9400,588.3800,576.9400,sh.000001,581.7,-0.699893,174904300,1076955136.0000,0.021874
1994-05-10,584.7700,595.4200,584.5400,sh.000001,595.38,2.351726,171604000,1253771264.0000,0.021438
1994-05-11,603.2700,606.7300,589.6400,sh.000001,591.18,-0.705434,254872000,2022743040.0000,0.031841
1994-05-12,586.1500,593.7000,580.3900,sh.000001,582.16,-1.525765,184433600,1379203328.0000,0.023041
1994-05-13,582.5100,590.4000,575.2800,sh.000001,590.39,1.413708,146680900,1033986368.0000,0.018325
1994-05-16,597.1200,597.1200,588.4800,sh.000001,592.57,0.369246,265397500,1403832704.0000,0.032903
1994-05-17,592.2900,594.9800,589.5300,sh.000001,592.02,-0.092814,163743500,917132992.0000,0.020300
1994-05-18,590.3200,591.6100,581.7300,sh.000001,583.32,-1.469547,194516600,783223360.0000,0.024115
1994-05-19,578.8000,590.6300,576.8500,sh.000001,590.54,1.237738,123194800,651372160.0000,0.015249
1994-05-20,592.3800,597.7200,588.3700,sh.000001,594.22,0.623157,205730400,1441660800.0000,0.025109
1994-05-23,594.5200,597.1500,586.3900,sh.000001,587.65,-1.105642,158567000,865000448.0000,0.019151
1994-05-24,586.5000,590.5200,586.5000,sh.000001,590.46,0.478175,104712400,605327680.0000,0.012646
1994-05-25,591.2300,592.8500,585.1500,sh.000001,586.76,-0.626632,107663400,682096896.0000,0.012973
1994-05-26,586.0900,587.1600,575.9300,sh.000001,577.46,-1.584973,109949100,648945920.0000,0.013248
1994-05-27,572.9700,574.7800,566.3700,sh.000001,573.36,-0.710012,129910700,774700992.0000,0.015653
1994-05-30,565.6300,565.8700,543.1900,sh.000001,544.26,-5.075341,641294000,661342336.0000,0.076765
1994-05-31,538.4500,556.2800,537.7800,sh.000001,556.26,2.204829,310822700,493964160.0000,0.037081
1994-06-01,554.0800,556.9000,543.8800,sh.000001,545.05,-2.015249,225002400,558840192.0000,0.026843
1994-06-02,543.3000,548.1200,543.1000,sh.000001,546.58,0.280714,183576300,415087264.0000,0.021893
1994-06-03,547.2100,555.3900,547.1500,sh.000001,548.75,0.397011,175766500,554162624.0000,0.020962
1994-06-06,549.0300,549.6600,540.9900,sh.000001,542.97,-1.053308,116955000,361800384.0000,0.013725
